OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-TN,USGS Tennessee Water Science Center,USGS-03469225,W P LT PIGEON R NR MT LE CONTE TN,Stream,,6010107,13.6,sq mi,,,35.63731578,-83.4926628,,Unknown,Unknown,Interpolated from MAP.,NAD83,2700,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469290,"DUDLEY CREEK NEAR GATLINBURG, TN",Stream,,6010107,3.89,sq mi,,,35.73009324,-83.4504389,,Unknown,Unknown,Interpolated from MAP.,NAD83,1550,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469400,"WEST PRONG LITTLE PIGEON RIVER AT GATLINBURG, TN",Stream,,6010107,59.9,sq mi,,,35.73370305,-83.5201642,,Unknown,Unknown,Interpolated from MAP.,NAD83,1180,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469500,"WEST PRONG LITTLE PIGEON R NR PIGEON FORGE, TN",Stream,,6010107,76.2,sq mi,,,35.80592357,-83.574334,,Unknown,Unknown,Interpolated from MAP.,NAD83,965.23,feet,0.1,feet,Unknown.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03469900,"WEST PRONG LITTLE PIGEON RIVER AT SEVIERVILLE,TN",Stream,,6010107,151,sq mi,,,35.87120076,-83.57405779,,0.01,seconds,Interpolated from MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03470000,"LITTLE PIGEON RIVER AT SEVIERVILLE, TN",Stream,,6010107,353,sq mi,,,35.87842286,-83.57766919,,Unknown,Unknown,Interpolated from MAP.,NAD83,878.99,feet,0.1,feet,Unknown.,NAVD88,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03470025,"LITTLE PIGEON RIVER NR CATLETTSBURG, TN",Stream,,6010107,381,sq mi,,,35.9312,-83.5868374,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03470100,"BAILEY SPRING NEAR KODAK, TN",Spring,,6010107,,,,,35.9447272,-83.6151719,24000,0.5,seconds,Interpolated from MAP.,NAD83,935,feet,20,feet,Interpolated from topographic map.,NGVD29,US,47,155,Valley and Ridge aquifers,,Knox Dolomite,Unconfined single aquifer,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03470200,"ROCKY SPRING AT BOYDS CREEK, TN",Spring,,6010107,,,,,35.92247655,-83.6660898,24000,0.5,seconds,Interpolated from MAP.,NAD83,800,feet,20,feet,Interpolated from topographic map.,NGVD29,US,47,155,Valley and Ridge aquifers,,Mascot Dolomite,Unconfined single aquifer,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03470210,"FRENCH BROAD RIVER NR KODAK, TN",Stream,,6010107,4993,sq mi,,,35.94175434,-83.6557288,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03497180,"LITTLE RIVER AT ELKMONT, TN",Stream,,6010201,31.4,sq mi,,,35.6548138,-83.580444,,Unknown,Unknown,Interpolated from MAP.,NAD83,2150,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03513475,NE NOLAND CREEK NEAR CLINGMANS DOME,Stream,,6010203,,,,,35.56509466,-83.4796063,24000,0.01,seconds,Unknown.,NAD83,,,,,,,US,37,173,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-03513476,SW NOLAND CREEK NEAR CLINGMANS DOME,Stream,,6010203,,,,,35.56509466,-83.4796063,,0.01,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,173,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354014083394101,"THE SINKS NR TUCKALEECHEE COVE, TN","Lake, Reservoir, Impoundment",,6010201,,,,,35.67055556,-83.66138889,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1620,feet,5,feet,Interpolated from topographic map.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354225083313200,Sv:E-011,Well,,6010107,,,,,35.70703658,-83.525442,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1280,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,230,ft,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354230083305600,Sv:E-005,Well,,6010107,,,,,35.70842564,-83.5154417,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1320,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,230,ft,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354230083310900,Sv:E-012,Well,,6010107,,,,,35.70842557,-83.5190529,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1320,feet,0.01,feet,Unknown.,NGVD29,US,47,155,,,,,,255,ft,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354300083372001,"STUPKAS CAVE NR WEAR COVE, TN",Subsurface: Cave,,6010107,,,,,35.71703457,-83.6237789,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1520,feet,20,feet,Interpolated from topographic map.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354307083213601,"PINNACLE SPRING (GSM NP) NR CAT STAIRS, TN",Spring,,6010107,,,,,35.71863889,-83.3600556,24000,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2880,feet,20,feet,Interpolated from topographic map.,NGVD29,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354359083265000,Sv:F-009,Well,,6010107,,,,,35.7331488,-83.4471055,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1693,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,47,155,,,,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354410083380601,Sv:D-001,Well,,6010107,,,,,35.73620085,-83.6348905,24000,1,seconds,Interpolated from MAP.,NAD83,1430,feet,10,feet,Interpolated from topographic map.,NGVD29,US,47,155,Valley and Ridge aquifers,,Sevier Shale,,19810512,105,ft,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354415083265401,Sv:F GAT-26,Well,,6010107,,,,,35.73759319,-83.4482167,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1620,feet,0.01,feet,Unknown.,NGVD29,US,47,155,Piedmont and Blue Ridge crystalline-rock aquifers,,Snowbird Group,,,,,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354415083270000,Sv:F-014,Well,,6010107,,,,,35.73759316,-83.4498834,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,1660,feet,0.01,feet,Unknown.,NGVD29,US,47,155,Piedmont and Blue Ridge crystalline-rock aquifers,,Snowbird Group,,,212,ft,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354606083205301,Sv :M-014,Well,,6010107,,,,,35.76842798,-83.347935,24000,1,seconds,Interpolated from MAP.,NAD83,1980,feet,10,feet,Interpolated from topographic map.,NGVD29,US,47,155,Piedmont and Blue Ridge crystalline-rock aquifers,,Snowbird Group,,19850801,350,ft,350,ft,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-354747083333801,Sv:K-001,Well,,6010107,,,,,35.79647947,-83.56044448,24000,1,seconds,Interpolated from MAP.,NAD83,950,feet,10,feet,Interpolated from topographic map.,NGVD29,US,47,155,Piedmont and Blue Ridge crystalline-rock aquifers,,Walden Creek Group,,19641103,166,ft,,,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-355021083305101,Sv:K-078 UTEN98-22,Well,,6010107,,,,,35.83916667,-83.51413889,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1080,feet,20,feet,Interpolated from topographic map.,NAVD88,US,47,155,Valley and Ridge aquifers,,Knox Dolomite,Unconfined single aquifer,19971111,225,ft,225,ft,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-355505083412401,Sv:O-009 UTEN98-12,Well,,6010107,,,,,35.9178611,-83.69,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1070,feet,20,feet,Interpolated from topographic map.,NGVD29,US,47,155,Valley and Ridge aquifers,,Chepultepec Dolomite,Unconfined single aquifer,19850607,390,ft,390,ft,NWIS
USGS-TN,USGS Tennessee Water Science Center,USGS-355850083370701,Sv:P-001,Well,,6010107,,,,,35.9806435,-83.6185062,24000,1,seconds,Interpolated from MAP.,NAD83,960,feet,10,feet,Interpolated from topographic map.,NGVD29,US,47,155,Valley and Ridge aquifers,,Conasauga Group,,19820520,760,ft,760,ft,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_JCST,Jakes Creek Stream Site,River/Stream Perennial,,6010201,,,,,35.65392083,-83.5820963,24000,,,Interpolation-Digital Map Source,NAD83,2173.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_JCTF,Jakes Creek Throughfall Site,Land,,6010201,,,,,35.65392083,-83.5820963,24000,,,Interpolation-Digital Map Source,NAD83,2173.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_NPST,Newt Prong Stream Site,River/Stream Perennial,,6010201,,,,,35.63259915,-83.58818405,24000,,,Interpolation-Digital Map Source,NAD83,2810.2,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_NPTF,Newt Prong Throughfall Site,Land,,6010201,,,,,35.63259915,-83.58818405,24000,,,Interpolation-Digital Map Source,NAD83,2810.2,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_RPST,Road Prong Stream Site,River/Stream Perennial,,6010107,,,,,35.63031297,-83.46958615,24000,,,Interpolation-Digital Map Source,NAD83,3574.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_RPTF,Road Prong Throughfall Site,Land,,6010107,,,,,35.63031297,-83.46958615,24000,,,Interpolation-Digital Map Source,NAD83,3574.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_WCST,Walker Camp Stream Site,River/Stream Perennial,,6010107,,,,,35.62982718,-83.45150481,24000,,,Interpolation-Digital Map Source,NAD83,3843.1,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_BD_WCTF,Walker Camp Throughfall Site,Land,,6010107,,,,,35.62982718,-83.45150481,24000,,,Interpolation-Digital Map Source,NAD83,3843.1,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_EPA_ERST,Eagle Rocks Prong Stream Site,River/Stream Perennial,Eagle Rocks Prong above Chapman Prong,6010107,,,,,35.69182441,-83.32066468,24000,,,Interpolation-Digital Map Source,NAD83,3089,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_EPA_ERTF,Eagle Rocks Prong Throughfall Site,Land,Eagle Rocks Prong above Chapman Prong,6010107,,,,,35.69182441,-83.32066468,24000,,,Interpolation-Digital Map Source,NAD83,3089,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_EPA_MPST,Middle Prong Stream Site,River/Stream Perennial,Below the confluence of Ramsey Prong and Middle Prong,6010107,,,,,35.70274839,-83.33443908,24000,,,Interpolation-Digital Map Source,NAD83,2613.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_EPA_MPTF,Middle Prong Throughfall Site,Land,Below the confluence of Ramsey Prong and Middle Prong,6010107,,,,,35.70274839,-83.33443908,24000,,,Interpolation-Digital Map Source,NAD83,2613.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_EPA_RPST,Ramsey Prong Stream Site,River/Stream Perennial,Ramsey Prong above Porters Creek,6010107,,,,,35.7044499,-83.32955585,24000,,,Interpolation-Digital Map Source,NAD83,2778.6,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_EPA_RPTF,Ramsey Prong Throughfall Site,Land,Ramsey prong above Porters Creek,6010107,,,,,35.7044499,-83.32955585,24000,,,Interpolation-Digital Map Source,NAD83,2778.6,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0020,Little River at Metcalf Bottoms,River/Stream Perennial,Stream System: East Little  Stream Order: 4  UTMX=260417; UTMY=3951334  Other: From original park report: Route 12 - Little Brier Branch off Little River at Metcalf Bottoms and Middle Little River.,6010201,,,,,35.67857477,-83.64728929,24000,,,Interpolation-Digital Map Source,NAD83,1670.6,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0021,Little Brier Branch at School,River/Stream Perennial,Stream Order: 2  UTMX=261094; UTMY=3951710  Survey Period: 1993-1996  Other: From original park report: Route 12 - Little Brier Branch off Little River at Metcalf Bottoms and Middle Little River.,6010201,,,,,35.68326524,-83.63877263,24000,,,Interpolation-Digital Map Source,NAD83,1774.1,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0026,LeConte Creek at Boundary,River/Stream Perennial,Stream Order: 2  UTMX=272676; UTMY=3953300  Survey Period: 1994-1996  Other: From original park report: Route 5 - LeConte Creek (Rainbow Falls). Site 26 (Old Site 32A) - LeConte Creek at Park Boundary.,6010107,,,,,35.69951165,-83.51022481,24000,,,Interpolation-Digital Map Source,NAD83,1571,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0027,Scratch Britches at Twin Creeks Science Center,River/Stream Perennial,Stream Order: 1  UTMX=273612; UTMY=3951880  Survey Period: 1994-1996  Other: From original park report: Route 5 - LeConte Creek (Rainbow Falls). Site 27 (Old Site 31) - Scratch Britches Creek above first bridge you drive over entering the Uplands Research Lab area.,6010107,,,,,35.68706416,-83.50062399,24000,,,Interpolation-Digital Map Source,NAD83,1937.7,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0028,LeConte Creek at Twin Creeks Science Center,River/Stream Perennial,Stream Order: 2  UTMX=273600; UTMY=3951860  Survey Period: 1994-1996  Other: From original park report: Route 5 - LeConte Creek (Rainbow Falls). Site 28 (Old Site 30) - LeConte Creek above second bridge near Uplands Research Lab.,6010107,,,,,35.68669193,-83.50051101,24000,,,Interpolation-Digital Map Source,NAD83,1942.2,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0030,West Prong Little Pigeon at Headquarters,River/Stream Perennial,Stream System: West Prong Little Pigeon  Stream Order: 4  UTMX=270435; UTMY=3952120  Other: From original park report: Route 6 - Lower West Prong Little Pigeon River. Site 30 (Old Site 33) - West Prong at Park Headquarters near U.S. 441 - Park in  visitors parking area after turning into headquarters road - site is just across the road.,6010107,,,,,35.68843962,-83.53654896,24000,,,Interpolation-Digital Map Source,NAD83,1439.6,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0034,Little River at Milsap Parking Area,River/Stream Perennial,Stream System: East Little  Stream Order: 4  UTMX=263830; UTMY=3949494  Other: From original park report: Route 12 - Little Brier Branch off Little River at Metcalf Bottoms and Middle Little River.,6010201,,,,,35.6647765,-83.60378212,24000,,,Interpolation-Digital Map Source,NAD83,1986.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0040,Little River at Old Road Gate,River/Stream Perennial,"Stream Order: 4  UTMX=267097; UTMY=3948230  Survey Period: 1993-1995  Other: Route 14 -Ash Camp Prong and Silers Creek. Site 40 (Old Site 59) - Little River at Little River Trailhead (where the gate is located) - this is the replicate site for this route, collect two samples here.  Additional: This site is co-located with IBI Site EPLR_2 (40)*",6010201,,,,,35.649792,-83.56324241,24000,,,Interpolation-Digital Map Source,NAD83,2313.8,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0042,Little River at Damaged Bridge,River/Stream Perennial,Stream Order: 4  UTMX=268427; UTMY=3947600  Survey Period: 1993-1995  Other: Route 14 -Ash Camp Prong and Silers Creek. Site 42 (Old Site 60) -Little River at bridge at end of drivable road where a rock blocks the path and the sign says No Vehicles Beyond This Point.,6010201,,,,,35.63341175,-83.544473,24000,,,Interpolation-Digital Map Source,NAD83,2596,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0043,Porters Creek at Log Bridge,River/Stream Perennial,"Stream System: Middle Prong Little Pigeon  Stream Order: 4  UTMX=283051; UTMY=3950990  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River. *Site 43 (Old Site 27 A) - Porters Creek at log bridge over stream at about 2350 ft - this site is the replicate site for this route, collect two samples here.",6010107,,,,,35.6807111,-83.39764847,24000,,,Interpolation-Digital Map Source,NAD83,2359.9,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-GRSM_F_0045,Shutts Prong,River/Stream Perennial,Stream System: Middle Prong Little Pigeon  Stream Order: 2  UTMX=282954; UTMY=3948628  Other: From original park report: Route 2 - Middle Prong of the Little Pigeon River.  Site 45 (Old Site 26A) - walk up Porters Creek Trail about 45 minutes to Shutts Prong confluence with Porters Creek at about 2700 ft. - proceed up Shutts Prong (going left at confluence of Boulevard Prong) to 3200 ft.,6010107,,,,,35.65957172,-83.39759729,24000,,,Interpolation-Digital Map Source,NAD83,3234.3,ft,,,Other,NAVD88,US,47,155,,,,,,,,,,STORET
